CIVILSTAND;ALDER;OMRÅDE;TID;INDHOLD
Gift/separeret;96 år;Aalborg;2020K1;5
Gift/separeret;96 år;Odense;2020K1;7
Gift/separeret;97 år;København;2020K1;10
Gift/separeret;97 år;Aalborg;2020K1;1
Gift/separeret;97 år;Odense;2020K1;3
Gift/separeret;98 år;København;2020K1;1
Gift/separeret;98 år;Aalborg;2020K1;4
Gift/separeret;98 år;Odense;2020K1;1
Gift/separeret;99 år;København;2020K1;0
Gift/separeret;99 år;Aalborg;2020K1;1
Gift/separeret;99 år;Odense;2020K1;3
Gift/separeret;100 år;København;2020K1;1
Gift/separeret;100 år;Aalborg;2020K1;0
Gift/separeret;100 år;Odense;2020K1;1
Gift/separeret;101 år;København;2020K1;0
Gift/separeret;101 år;Aalborg;2020K1;0
Gift/separeret;101 år;Odense;2020K1;0
Gift/separeret;102 år;København;2020K1;1
Gift/separeret;102 år;Aalborg;2020K1;0
Gift/separeret;102 år;Odense;2020K1;0
Gift/separeret;103 år;København;2020K1;0
Gift/separeret;103 år;Aalborg;2020K1;0
Gift/separeret;103 år;Odense;2020K1;0
Gift/separeret;104 år;København;2020K1;0
Gift/separeret;104 år;Aalborg;2020K1;0
Gift/separeret;104 år;Odense;2020K1;0
Gift/separeret;105 år;København;2020K1;0
Gift/separeret;105 år;Aalborg;2020K1;0
Gift/separeret;105 år;Odense;2020K1;0
Gift/separeret;106 år;København;2020K1;0
Gift/separeret;106 år;Aalborg;2020K1;0
Gift/separeret;106 år;Odense;2020K1;0
Gift/separeret;107 år;København;2020K1;0
Gift/separeret;107 år;Aalborg;2020K1;0
Gift/separeret;107 år;Odense;2020K1;0
Gift/separeret;108 år;København;2020K1;0
Gift/separeret;108 år;Aalborg;2020K1;0
Gift/separeret;108 år;Odense;2020K1;0
Gift/separeret;109 år;København;2020K1;0
Gift/separeret;109 år;Aalborg;2020K1;0
Gift/separeret;109 år;Odense;2020K1;0
Gift/separeret;110 år;København;2020K1;0
Gift/separeret;110 år;Aalborg;2020K1;0
Gift/separeret;110 år;Odense;2020K1;0
Gift/separeret;111 år;København;2020K1;0
Gift/separeret;111 år;Aalborg;2020K1;0
Gift/separeret;111 år;Odense;2020K1;0
Gift/separeret;112 år;København;2020K1;0
Gift/separeret;112 år;Aalborg;2020K1;0
Gift/separeret;112 år;Odense;2020K1;0
Gift/separeret;113 år;København;2020K1;0
Gift/separeret;113 år;Aalborg;2020K1;0
Gift/separeret;113 år;Odense;2020K1;0
Gift/separeret;114 år;København;2020K1;0
Gift/separeret;114 år;Aalborg;2020K1;0
Gift/separeret;114 år;Odense;2020K1;0
Gift/separeret;115 år;København;2020K1;0
Gift/separeret;115 år;Aalborg;2020K1;0
Gift/separeret;115 år;Odense;2020K1;0
Gift/separeret;116 år;København;2020K1;0
Gift/separeret;116 år;Aalborg;2020K1;0
Gift/separeret;116 år;Odense;2020K1;0
Gift/separeret;117 år;København;2020K1;0
Gift/separeret;117 år;Aalborg;2020K1;0
Gift/separeret;117 år;Odense;2020K1;0
Gift/separeret;118 år;København;2020K1;0
Gift/separeret;118 år;Aalborg;2020K1;0
Gift/separeret;118 år;Odense;2020K1;0
Gift/separeret;119 år;København;2020K1;0
Gift/separeret;119 år;Aalborg;2020K1;0
Gift/separeret;119 år;Odense;2020K1;0
Gift/separeret;120 år;København;2020K1;0
Gift/separeret;120 år;Aalborg;2020K1;0
Gift/separeret;120 år;Odense;2020K1;0
Gift/separeret;121 år;København;2020K1;0
Gift/separeret;121 år;Aalborg;2020K1;0
Gift/separeret;121 år;Odense;2020K1;0
Gift/separeret;122 år;København;2020K1;0
Gift/separeret;122 år;Aalborg;2020K1;0
Gift/separeret;122 år;Odense;2020K1;0
Gift/separeret;123 år;København;2020K1;0
Gift/separeret;123 år;Aalborg;2020K1;0
Gift/separeret;123 år;Odense;2020K1;0
Gift/separeret;124 år;København;2020K1;0
Gift/separeret;124 år;Aalborg;2020K1;0
Gift/separeret;124 år;Odense;2020K1;0
Gift/separeret;125 år;København;2020K1;0
Gift/separeret;125 år;Aalborg;2020K1;0
Gift/separeret;125 år;Odense;2020K1;0
